no,country,iso_code,level,gdlcode,region,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,country_code
37,Nigeria,NGA,National,NGAt,Total,,,,,,4.69,4.60,4.50,4.40,4.30,4.21,4.11,4.01,4.22,4.43,4.65,4.86,5.07,5.09,5.12,5.14,5.17,5.19,5.21,5.24,5.26,,,NGA
38,Rwanda,RWA,National,RWAt,Total,2.36,2.43,2.50,2.57,2.64,2.72,2.79,2.86,2.93,3.00,3.03,3.06,3.10,3.13,3.16,3.25,3.34,3.42,3.51,3.60,3.73,3.86,4.00,4.13,4.26,4.39,4.52,4.66,RWA
39,Sudan,SDN,National,SDNt,Total,,,,,,,3.31,3.35,3.38,3.42,3.46,3.50,3.53,3.57,3.61,3.65,3.68,3.72,3.93,4.13,4.20,4.28,4.35,4.42,4.49,4.57,4.64,,SDN
40,Senegal,SEN,National,SENt,Total,1.11,1.16,1.21,1.26,1.31,1.36,1.41,1.46,1.50,1.55,1.60,1.65,1.70,1.75,1.80,1.86,1.92,1.98,2.03,2.09,2.15,2.06,2.28,2.49,2.50,2.50,2.94,3.38,SEN
41,Sierra Leone,SLE,National,SLEt,Total,,,,,,,,,,,,,,,1.37,1.48,1.59,1.70,1.81,1.92,2.03,2.14,2.25,2.54,2.83,3.11,3.40,3.69,SLE
42,Somalia,SOM,National,SOMt,Total,,,,,,,,,,,,,1.04,1.12,1.19,1.26,1.33,1.40,1.48,1.55,1.62,1.69,1.76,1.84,,,,,SOM
43,South Sudan,SSD,National,SSDt,Total,,,,,,,,,,,,,,,1.14,1.07,1.01,0.94,0.88,0.81,0.75,0.68,0.62,,,,,,SSD
44,Sao Tome & Principe,STP,National,STPt,Total,,,,,,,3.88,3.92,3.96,4.00,4.04,4.08,4.12,4.16,4.20,4.24,4.28,4.32,4.36,4.49,4.62,4.76,4.89,5.02,5.15,5.28,5.42,,STP
45,Eswatini,SWZ,National,SWZt,Total,,,,,,,5.91,6.03,6.14,6.26,6.38,6.49,6.61,6.73,6.84,6.96,7.09,7.21,7.34,7.46,7.59,7.72,7.85,7.98,8.11,8.24,8.37,,SWZ
47,Chad,TCD,National,TCDt,Total,,,,0.45,0.49,0.52,0.56,0.60,0.63,0.67,0.71,0.75,0.78,0.82,0.89,0.96,1.03,1.09,1.16,1.23,1.31,1.39,1.46,1.54,1.62,1.70,1.78,1.85,TCD
48,Togo,TGO,National,TGOt,Total,,,,,1.32,1.47,1.61,1.75,1.89,2.04,2.18,2.32,2.46,2.61,2.75,2.89,2.97,3.04,3.12,3.19,3.27,3.34,3.42,3.49,3.57,3.64,3.72,,TGO
49,Tunisia,TUN,National,TUNt,Total,,,,,,,,,,,,,,,,,,,6.09,6.22,6.36,6.50,6.64,6.78,6.92,7.05,7.19,7.33,TUN
50,Tanzania,TZA,National,TZAt,Total,2.80,2.94,3.09,3.23,3.38,3.52,3.57,3.63,3.68,3.79,3.90,4.01,4.12,4.23,4.28,4.33,4.38,4.42,4.47,4.52,4.70,4.87,5.05,5.22,5.40,5.58,5.75,5.93,TZA
51,Uganda,UGA,National,UGAt,Total,,2.61,2.72,2.84,2.96,3.08,3.20,3.32,3.43,3.55,3.67,3.74,3.81,3.88,3.95,4.02,4.19,4.35,4.52,4.68,4.85,5.02,5.18,5.35,,,,,UGA
52,South Africa,ZAF,National,ZAFt,Total,,,,,6.97,7.10,7.23,7.36,7.49,7.62,7.75,7.88,8.01,8.14,8.27,8.40,8.53,8.66,8.79,8.92,9.05,9.10,9.15,9.19,9.24,9.29,9.34,9.39,ZAF
53,Zambia,ZMB,National,ZMBt,Total,,,4.58,4.63,4.69,4.74,4.79,4.85,4.90,4.95,5.01,5.06,5.16,5.27,5.37,5.48,5.58,5.67,5.76,5.85,5.95,6.04,6.13,6.22,6.31,6.40,6.49,,ZMB
54,Zimbabwe,ZWE,National,ZWEt,Total,4.93,5.11,5.28,5.46,5.64,5.81,5.99,6.16,6.34,6.39,6.45,6.50,6.56,6.61,6.67,6.72,6.91,7.11,7.30,7.50,7.69,7.78,7.87,7.96,8.05,8.14,8.23,8.32,ZWE
