country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,country_code
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,14.7,18.3,18.3,18.3,18.3,29.3,29.3,29.3,29.3,29.3,33,40.3,40.3,29.3,22,47.7,47.7,47.7,47.7,47.7,47.7,44,47.7,51.3,51.3,62.3,66,66,69.7,69.7,73.3,77,80.7,88,91.7,103,103,103,132,143,139,161,103,106,132,161,136,143,176,154,COM
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,77,36.7,18.3,22,22,29.3,18.3,14.7,18.3,22,22,18.3,14.7,29.3,25.7,22,18.3,29.3,36.7,36.7,36.7,51.3,62.3,66,77,73.3,80.7,209,249,121,33,36.7,36.7,84.3,84.3,58.7,80.7,73.3,80.7,95.3,99,106,110,114,121,143,147,158,183,216,235,275,308,330,440,473,506,469,524,557,616,506,499,491,CPV
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,25.7,25.7,29.3,33,36.7,29.3,44,47.7,36.7,40.3,44,47.7,66,84.3,121,139,88,121,84.3,139,161,191,180,194,198,198,198,202,363,348,301,348,348,352,359,378,389,348,389,323,312,312,312,304,304,312,326,315,315,341,367,400,422,407,414,411,462,499,462,517,473,517,609,722,DJI
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,18.3,18.3,22,25.7,25.7,14.7,29.3,33,40.3,58.7,73.3,80.7,84.3,99,114,121,139,132,51.3,69.7,33,161,238,312,499,469,499,616,763,744,803,909,3790,4140,3890,4000,4160,4610,5000,5540,5220,5670,6160,6070,5670,5430,5650,6600,8430,8440,9060,11300,15100,18700,28300,38300,31900,32000,39200,41900,62500,45600,66500,46400,39300,52600,71100,72800,76300,84100,83900,80000,77000,79000,80100,82200,86400,95300,97100,87300,107000,92000,87900,84200,89900,91600,88500,107000,101000,109000,110000,121000,119000,121000,130000,134000,145000,DZA
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,84.3,40.3,308,91.7,180,422,865,689,455,561,532,469,499,554,532,568,869,924,1020,1010,953,873,825,748,730,689,880,2230,3030,3960,3840,4110,4360,4360,4230,4420,6160,7470,10200,10600,10900,10800,11700,10700,9960,11900,13700,12700,16100,17100,18600,21600,25500,27600,26600,19700,22900,19700,21700,23000,25500,23800,26100,31100,34500,37900,39300,42900,45200,51000,56500,57100,63800,63900,74600,74800,74500,72200,75900,78700,81300,93200,85300,95700,102000,108000,122000,125000,141000,125000,127000,148000,151000,167000,179000,189000,199000,207000,203000,217000,217000,213000,202000,EGY
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,7.33,3.67,11,14.7,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865,935,1010,865,590,620,609,631,605,726,770,766,561,579,414,513,513,594,660,667,697,ERI
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,,,,,3.67,3.67,88,62.3,99,183,271,227,242,323,319,337,352,341,396,422,407,645,825,1070,1730,1670,1650,1850,1410,1750,1740,1210,1180,1050,1370,1850,1820,1870,1480,1840,1660,1820,2210,2580,2670,2830,3020,2980,2970,3030,2240,2560,2860,3050,3220,3160,3550,4350,4520,4990,5300,5120,5500,6010,6580,6630,6590,7730,8560,10600,11600,ETH
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,132,165,88,73.3,191,216,381,1010,1960,1430,2080,2850,2740,5310,5450,5370,5710,6310,7560,6750,6630,6570,6560,5520,6000,6320,4970,4020,4330,5770,4500,4540,4930,4990,4390,4620,4770,4800,4980,4810,4690,4800,4570,4640,4690,4890,4170,4120,4170,4250,4810,4970,5100,5280,5190,GAB
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,876,869,1020,1000,1190,1080,1290,1360,1320,1460,1350,1430,1720,1650,1710,1440,1500,1760,1690,2630,2300,2420,2480,2940,2750,2430,3000,2970,2660,2560,3050,3040,3660,2580,3330,3050,3290,3450,3340,3820,3930,3980,4550,4950,5280,5610,6370,6400,6550,6290,6920,7420,7630,7350,6990,9360,9830,9140,7710,9960,9830,11900,14600,14500,GHA
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,158,411,616,660,697,700,697,719,726,748,748,792,814,832,803,840,843,887,902,902,946,964,990,983,953,979,994,997,994,1030,1050,1000,1030,1060,1090,1250,1290,1360,1420,1500,1580,1640,1720,1800,1880,1940,1830,1890,1970,2190,2260,2600,2780,2580,2300,2450,GIN
