country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,country_code
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,22,11,11,11,62.3,51.3,66,47.7,51.3,58.7,40.3,66,66,58.7,29.3,51.3,55,47.7,55,58.7,44,58.7,902,931,1070,1080,1140,1380,1550,1770,1820,1800,1880,2630,1990,1660,2140,2010,2130,1870,2780,3240,2980,3620,3300,3560,3150,2890,2560,2710,2870,2640,3210,2490,2540,1980,1540,1150,983,983,1010,1040,1020,1020,1000,1080,1060,1110,1040,1130,1130,1190,1350,1580,1590,1920,1920,1820,1980,2260,2270,2530,2740,3220,3120,4020,8430,MOZ
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,36.7,47.7,62.3,88,117,161,180,198,235,275,429,400,447,469,484,510,517,557,583,605,631,664,884,939,873,656,374,3290,3230,2850,906,920,968,983,1140,1070,1110,1120,1120,1150,1170,1270,1350,1390,1540,1590,1610,1840,1940,2120,2240,2390,2650,2670,2710,MRT
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,139,176,187,187,128,220,220,209,224,180,187,253,209,308,304,275,499,638,572,499,396,689,678,693,590,620,642,631,660,590,543,502,598,627,708,799,931,854,1050,1460,1520,1710,1770,1620,1830,1950,2000,2170,2430,2690,2860,2890,3060,3090,3300,3630,3690,3770,3710,3920,3920,3970,4070,4230,MUS
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,348,429,367,389,381,455,502,546,572,550,579,583,638,671,638,711,605,594,576,557,557,554,546,543,565,748,796,796,891,917,920,913,964,935,942,869,865,851,917,931,876,913,887,1060,946,1140,1180,1100,1220,1280,MWI
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,1150,1390,1580,1630,1750,1800,1910,1660,1640,2020,1760,1870,1960,2310,2330,2360,3330,3070,3100,2830,3380,2630,3760,NAM
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,22,29.3,55,66,88,95.3,91.7,136,132,161,191,216,231,253,330,290,334,334,367,418,480,572,686,748,964,994,997,902,1000,990,1040,733,722,700,781,774,810,902,909,957,953,697,656,700,759,814,715,693,722,810,968,1170,1330,1870,1940,2130,NER
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,66,224,400,370,488,572,304,473,543,645,876,968,968,931,939,884,678,634,700,697,788,979,975,821,836,990,1240,1360,1660,1380,1640,1560,1640,1490,2260,1690,2180,2440,2570,2700,3010,3190,3730,3570,3410,4110,4180,5350,7280,11800,12900,12800,6630,12100,21500,32300,41400,49600,62300,47400,55200,50600,48300,70300,68200,66000,65600,59900,69600,69900,73500,59300,70700,42400,39200,42300,46600,45100,35200,35800,39700,42300,37900,40300,76100,85700,93700,102000,104000,106000,98900,95100,96100,76700,91500,95700,98500,98100,96300,NGA
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3,84.3,36.7,47.7,44,40.3,55,58.7,58.7,62.3,66,69.7,73.3,176,268,268,290,297,495,601,609,697,634,616,598,616,697,689,543,488,488,495,473,462,480,499,488,510,528,532,532,521,528,528,528,557,543,576,590,664,737,803,840,RWA
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,722,759,832,818,928,898,1160,1290,1370,1360,1390,1490,1680,1860,2430,2640,3190,3110,4180,4860,4980,5380,5430,5680,4240,3760,3810,3440,3570,3750,3640,3830,3910,3510,4070,4250,3350,4850,3760,5220,4890,4380,3020,4150,4300,4430,5420,4700,5090,5530,6370,8120,9070,11500,11000,12000,14100,14900,15600,15900,15700,14600,15500,15400,SDN
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,389,829,814,814,862,924,1690,1720,700,,491,1310,1350,1460,1550,1850,2580,1770,2240,2630,2900,3350,3300,3050,2630,3310,2680,2660,2450,2740,3700,3180,3420,3480,3590,3900,3490,3740,3260,3430,3700,3940,4330,4510,4980,5230,5810,4730,5180,5090,4580,7740,8370,7910,8420,8860,SEN
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,95.3,180,169,125,183,180,389,209,235,715,290,326,370,304,282,301,253,385,1110,873,803,678,539,521,524,451,513,711,678,609,693,554,689,616,664,675,499,458,374,488,546,447,447,513,400,473,444,414,367,425,568,609,653,642,546,733,642,664,653,726,898,1030,1190,1310,SLE
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,47.7,47.7,47.7,47.7,66,69.7,73.3,84.3,88,84.3,88,106,103,136,132,139,227,154,161,216,187,235,264,330,502,480,799,557,488,814,275,719,935,715,858,924,994,1010,957,733,708,682,642,631,590,568,539,513,491,480,502,587,594,594,594,594,609,601,598,612,605,609,609,609,SOM
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330,1450,1500,SSD
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,3.67,7.33,11,7.33,7.33,11,11,11,7.33,11,11,11,11,14.7,14.7,14.7,11,11,14.7,18.3,18.3,29.3,29.3,33,33,40.3,44,47.7,55,51.3,55,51.3,51.3,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,51.3,58.7,66,73.3,77,84.3,84.3,84.3,91.7,99,103,114,114,114,STP
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,33,3.67,,,11,80.7,202,227,279,304,367,400,381,370,312,337,334,341,440,447,466,436,436,271,334,440,458,436,436,436,425,326,264,132,484,455,341,1200,1210,1240,1190,1140,1130,1040,1030,1020,1020,1060,1100,1050,1040,1050,1210,1090,1200,SWZ
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,7.33,7.33,7.33,7.33,7.33,7.33,29.3,33,44,47.7,55,58.7,80.7,84.3,77,121,95.3,99,84.3,99,99,150,165,202,198,235,150,172,172,183,202,198,235,341,433,510,572,634,539,550,737,689,733,642,693,524,444,341,440,403,495,SYC
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,55,51.3,84.3,91.7,99,106,84.3,117,125,161,125,150,121,161,150,183,183,198,194,202,209,209,205,205,216,180,187,198,66,103,143,66,84.3,91.7,103,110,125,143,150,161,176,172,169,381,378,400,407,462,510,491,517,539,612,700,730,TCD
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,25.7,44,29.3,33,40.3,40.3,47.7,47.7,55,66,91.7,88,106,132,132,180,198,194,242,275,315,400,403,378,312,323,462,356,1380,719,627,733,546,609,550,708,766,792,836,774,843,836,865,832,953,1060,986,1170,1540,1360,1160,1230,1460,1400,1340,1220,1410,1680,2780,2640,2460,2490,2660,2620,TGO
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,29.3,40.3,,29.3,22,,,,,,,,,,,,18.3,18.3,18.3,25.7,29.3,33,33,58.7,136,161,51.3,91.7,95.3,132,128,147,128,1220,1380,1440,1380,1410,1600,1560,1580,1450,1590,1730,1770,1800,1950,2760,2460,2890,3090,3600,3860,3740,4210,4740,4830,5400,5550,5850,6760,7490,8770,9490,9830,9530,11300,11500,11900,12100,11700,12500,13200,13300,15500,15000,16500,15900,15700,16800,16900,18000,18300,19900,20800,20900,21200,22300,22700,23000,24100,24800,24800,27700,26000,27000,27700,28800,TUN
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,447,539,528,539,557,660,763,803,689,829,704,766,803,1030,1160,1370,1760,1650,1800,1770,2460,2170,3190,2310,2280,2790,2010,2200,2070,1880,2120,2170,2220,2370,2360,2300,2390,2290,2210,2270,2400,2320,2600,2410,3550,3460,2880,2560,2540,2650,3130,3590,3810,4360,5500,6030,5900,6140,5920,7110,8090,9550,11200,11600,TZA
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,139,143,209,220,264,264,279,293,414,422,407,429,433,491,627,733,810,983,1180,1440,1440,1380,1180,1200,1130,990,807,700,675,627,528,546,616,583,620,704,770,865,803,759,781,788,781,708,939,1060,1110,1270,1310,1430,1510,1560,1600,1740,2170,2540,2890,3190,3380,3920,4260,4070,4870,5230,UGA
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,36.7,47.7,47.7,80.7,132,297,297,480,1800,2430,3340,4260,4780,6050,5520,2330,3910,5830,7790,8780,10000,11500,12700,13000,15000,17000,16400,17400,19000,18400,18500,21800,23400,22200,23200,25700,25400,21800,26500,27800,29000,30500,29600,29600,30800,28700,25600,23500,25400,28900,32200,35300,36800,38700,40200,41600,44400,48500,48800,54600,55900,56100,55900,57200,60600,61100,65200,70900,71100,74000,83000,87300,89700,96300,94600,97900,102000,106000,110000,120000,128000,128000,134000,138000,143000,150000,169000,172000,174000,177000,185000,193000,200000,202000,219000,228000,257000,281000,292000,316000,324000,331000,329000,343000,341000,313000,326000,302000,321000,339000,362000,364000,386000,378000,375000,379000,372000,357000,404000,450000,417000,448000,467000,497000,503000,474000,471000,469000,466000,490000,ZAF
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280,3920,3500,4790,4570,4280,3770,3790,4070,4590,4200,4080,4030,3740,3480,3600,3530,3370,3520,3270,2820,2750,2890,2700,3140,2600,2450,2420,2460,2500,2420,2170,1870,2390,2310,1810,1820,1910,1980,2110,2150,2290,2290,1930,2170,2510,2690,2940,3670,3960,4500,ZMB
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,143,235,253,279,396,411,433,513,521,583,843,986,1180,1320,1180,1230,1390,1390,1240,1490,1570,1830,2320,2410,2910,2750,2490,1560,1160,1280,1710,1840,1870,2740,2770,2970,3430,3750,4140,4720,4800,4470,4320,4040,4540,5130,,,,,,,,,,,,,,,4470,5210,6050,5300,6380,6750,8160,8740,8230,9280,9060,8320,10900,9300,9300,9450,9640,9440,8810,10500,9920,10300,13100,15200,16100,16200,15600,16000,17000,16400,17800,15100,15000,14400,14300,15800,13900,12600,12000,10700,9490,10800,10400,9890,7770,5600,7780,9560,7790,11700,12000,ZWE
