年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2018,勞力工,礦業及土石採取業各業,216,26888,24418,2470
2018,廚房幫工(含速食烹調),礦業及土石採取業各業,… ,… ,… ,… 
2018,主管及監督人員,石油及天然氣礦業,101,"127,569","107,299","20,270"
2018,高階主管(總經理及總執行長),石油及天然氣礦業,… ,… ,… ,… 
2018,中階主管(經理),石油及天然氣礦業,38,"134,603","113,806","20,797"
2018,監督人員(含現場及辦公室主任、科/股長),石油及天然氣礦業,58,"120,840","101,997","18,843"
2018,專業人員,石油及天然氣礦業,313,"75,881","62,934","12,947"
2018,工管及生管工程師,石油及天然氣礦業,… ,… ,… ,… 
2018,土木及水利工程師,石油及天然氣礦業,8,"59,232","47,387","11,845"
2018,環境工程師,石油及天然氣礦業,8,"71,074","60,281","10,793"
2018,機械工程師(含造船、輪機、鑄造),石油及天然氣礦業,15,"70,102","56,662","13,440"
2018,化工工程師,石油及天然氣礦業,… ,… ,… ,… 
2018,地質、採礦、鑽探、冶金工程師,石油及天然氣礦業,146,"74,279","61,691","12,588"
2018,電機工程師,石油及天然氣礦業,13,"83,062","65,828","17,234"
2018,電子工程師,石油及天然氣礦業,… ,… ,… ,… 
2018,測量師及製圖師,石油及天然氣礦業,… ,… ,… ,… 
2018,護理人員,石油及天然氣礦業,12,"67,726","55,329","12,397"
2018,勞安及衛生管理人員(含工業安全管理師),石油及天然氣礦業,8,"80,551","70,319","10,232"
2018,專案管理師(含經營管理顧問),石油及天然氣礦業,77,"82,331","68,822","13,509"
2018,人力資源管理師,石油及天然氣礦業,… ,… ,… ,… 
2018,軟體開發及程式設計師,石油及天然氣礦業,9,"75,610","61,814","13,796"
2018,技術員及助理專業人員,石油及天然氣礦業,383,"77,795","57,338","20,457"
2018,營建工程技術員(含建築、土木、景觀、測量、水利),石油及天然氣礦業,17,"82,525","64,675","17,850"
2018,電機技術員,石油及天然氣礦業,— ,— ,— ,— 
2018,機械技術員(含造船、輪機、鑄造),石油及天然氣礦業,7,"67,824","51,371","16,453"
2018,化工技術員,石油及天然氣礦業,… ,… ,… ,… 
2018,品管技術員,石油及天然氣礦業,— ,— ,— ,— 
2018,地質、採礦、鑽探、冶金技術員,石油及天然氣礦業,194,"78,868","56,648","22,220"
2018,環境工程技術員,石油及天然氣礦業,… ,… ,… ,… 
2018,焚化爐、水處理及氣(液)體設備操作員,石油及天然氣礦業,59,"92,136","61,548","30,588"
2018,石油及天然氣精煉設備操作員,石油及天然氣礦業,58,"67,888","56,181","11,707"
2018,勞安及衛生技術員,石油及天然氣礦業,12,"52,888","40,588","12,300"
2018,統計及精算助理專業人員,石油及天然氣礦業,13,"77,511","63,044","14,467"
2018,工商業銷售代表(含業務員),石油及天然氣礦業,— ,— ,— ,— 
2018,採購員,石油及天然氣礦業,10,"70,516","57,218","13,298"
2018,法務人員,石油及天然氣礦業,… ,… ,… ,… 
2018,資訊管理及維護技術員,石油及天然氣礦業,… ,… ,… ,… 
2018,事務支援人員,石油及天然氣礦業,158,"63,779","52,495","11,284"
2018,總務,石油及天然氣礦業,13,"61,274","51,864","9,410"
2018,一般辦公室事務人員(含文書),石油及天然氣礦業,82,"63,155","52,187","10,968"
2018,資料輸入人員,石油及天然氣礦業,— ,— ,— ,— 
2018,總機人員,石油及天然氣礦業,… ,… ,… ,… 
2018,會計助理、簿記、出納,石油及天然氣礦業,23,"64,452","53,671","10,781"
2018,存貨事務人員,石油及天然氣礦業,… ,… ,… ,… 
2018,生產及物料規劃事務人員,石油及天然氣礦業,… ,… ,… ,… 
